College Name,Avg Sentiment,Avg Rating,Review Count
Jadavpur University - [JU],0.6382444444444445,8.644444444444444,9
Pranveer Singh Institute of Technology - [PSIT],0.63154375,8.64375,16
Sinhgad Institute of Technology - [SIT] Lonavala,0.9002666666666667,8.633333333333333,3
College of Engineering  - [COEP],0.9659,8.633333333333333,3
Indraprastha Institute of Technology and Management - [IITM],0.9744333333333333,8.633333333333333,3
Vignana Bharathi Institute of Technology - [VBIT],0.8611333333333334,8.633333333333333,3
Kalinga Institute of Industrial Technology - [KIIT],0.7867911764705883,8.626470588235295,34
GH Raisoni College of Engineering - [GHRCE],0.905875,8.625,4
Poornima Institute of Engineering  and Technology - [PIET],0.9216666666666667,8.6,3
Dr. D. Y. Patil Institute of Technology - [DYPIT] Pimpri,0.9540500000000001,8.6,2
Global Academy of Technology - [GAT],0.9782500000000001,8.6,2
Alva's Institute of Engineering and Technology,0.6576500000000001,8.6,2
Chitkara Institute of Engineering and Technology - [CIET],0.9052,8.6,1
Ramrao Adik Institute of Technology - [RAIT],0.8652666666666667,8.6,3
Indian Maritime University - [IMU],0.5721666666666666,8.583333333333334,6
Sanskar Educational Group - [SEG],0.9558476190476191,8.571428571428571,21
MEA Engineering College- [MEAEC],0.8469000000000001,8.566666666666666,3
Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,0.8260333333333333,8.566666666666666,3
Rajalakshmi Engineering College - [REC],0.7723333333333334,8.566666666666666,3
Rajagiri School of Engineering & Technology - [RSET],0.76515,8.55,2
SSBT's College of Engineering and Technology,0.90405,8.55,2
Indian Institute of Information Technology Design & Manufacturing - [IIITDM],0.8464,8.55,4
IIT Guwahati - Indian Institute of Technology - [IITG],0.8663,8.549999999999999,6
Geetanjali Institute of Technical Studies - [GITS],0.9195666666666666,8.544444444444444,9
Government College of Engineering - [GCE],0.11519999999999998,8.533333333333333,3
Pune Vidhyarthi Griha's College of Engineering and Technology - [PVGCOET],0.6742666666666667,8.533333333333333,3
Vignan's Institute of Information Technology - [VIIT],0.60895,8.525,4
The National Institute of Engineering - [NIE],0.8206727272727273,8.518181818181818,11
Indian Institute of Information Technology - [IIIT-K],0.923,8.5,2
RISE Krishna Sai Gandhi Group of Institutions,0.9669,8.5,1
Roorkee College of Engineering - [RCE],0.9636,8.5,2
Aryan Institute of Engineering and Technology - [AIET],0.9259,8.5,2
Arya College of Engineering and IT - [ACEIT],-0.6759,8.5,1
Garden City University - [GCU],0.8779,8.5,2
Sanjivani College of Engineering Kopargaon,0.9813,8.5,1
Muffakham Jah College of Engineering & Technology - [MJCET],0.9639,8.5,1
NPR College of Engineering and Technology,0.9738,8.5,1
Future Institute of Engineering and Management - [FIEM],0.9245666666666666,8.5,3
Finolex Academy of Management and Technology - [FAMT],0.8307,8.5,1
Kothiwal Institute of Technology and Professional Studies - [KITPS],0.9674,8.5,1
"Pandit Deendayal Petroleum University, School of Technology - [PDPU SOT]",0.9589333333333334,8.5,3
